Type,Name,Image_URL,Category,Cuisine,Halal_Status,Famous_Dish,Price_Range,Ticket_Price_Breakdown,Opening_Hours,Address,Description,Accessibility_Info,Public_Transport,Contact_Website
Food,Village Park Restaurant,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/village%20park.jpg,,Malay,Muslim-Friendly (Pork-Free),Nasi Lemak Ayam Goreng (Fried Chicken),RM15 - RM25,,Daily: 6:30 AM - 5:30 PM,"5, Jalan SS 21/37, Damansara Utama, 47400 Petaling Jaya, Selangor",Legendary Nasi Lemak famous for its crispy spiced fried chicken and fluffy coconut rice. A favorite of locals and dignitaries alike.,Ground floor shop lot. Accessible entrance but can be very crowded.,MRT Kajang Line: TTDI Station (Take Feeder Bus T813 or Grab).,
Food,Nasi Lemak Wanjo Kg Baru,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/nasi%20lemak%20wanjo.jpg,,Malay,Halal,Nasi Lemak with Sambal Sotong & Ayam Goreng,RM10 - RM20,,Daily: 6:00 AM - 12:00 AM,"8, Jalan Raja Muda Musa, Kampung Baru, 50300 Kuala Lumpur",One of the most authentic Nasi Lemak spots in the historic Kampung Baru area. Great for breakfast or late-night supper.,Open-air ground floor seating. Wheelchair accessible.,LRT Kelana Jaya Line: Kampung Baru Station (5-8 min walk).,
Food,Hing Kee Bakuteh,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/heng-kee-bak-kut-teh.jpg,,Chinese (Hokkien),Non-Halal,Dry & Soup Bak Kut Teh (Pork Ribs),RM25 - RM40,,Daily: 3:30 PM - 2:30 AM,"121, Jalan Kepong, Metro Prima, 52100 Kuala Lumpur","Michelin Bib Gourmand winner. Famous for its thick, aromatic herbal soup and the dry version with dried chilies and cuttlefish.",Ground floor shop. Wheelchair accessible.,MRT Putrajaya Line: Metro Prima Station (5 min walk).,
Food,Canton Boy,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/canton%20boy.jpg,,Chinese (Cantonese),Halal,Har Gao (Prawn Dumpling) & Siew Mai,RM40 - RM60,,Daily: 10:00 AM - 10:00 PM,"Lot G-012B, Ground Floor, MyTOWN Shopping Centre, Jalan Cochrane, 55100 KL",A modern spot serving authentic Halal Dim Sum and Cantonese cuisine. Perfect for Muslim travelers craving Chinese-style breakfast.,Fully wheelchair accessible (Mall elevators and ramps available).,MRT Kajang Line: Cochrane Station (Direct underground link to MyTOWN).,
Food,Kim Lian Kee,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/kim%20lian%20kee.jpg,,Chinese (Hokkien),Non-Halal,Charcoal Fried Hokkien Mee (Black Noodles),RM15 - RM25,,Daily: 11:00 AM - 11:00 PM,"92, Jalan Hang Lekir, City Centre, 50000 Kuala Lumpur (Chinatown)",The birthplace of KL Hokkien Mee. Uses charcoal fire to give the noodles a distinctive smoky 'wok hei' flavor. Uses pork lard.,Ground floor seating available (tight space). Upper floor stairs only.,MRT/LRT: Pasar Seni Station (Walk to Petaling Street).,
Food,Ah Mang Mee (Stall No. 8),https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/ah%20mang%20mee.jpg,,Chinese (Hokkien),Halal,Halal Hokkien Mee (Chicken/Seafood),RM10 - RM18,,Wed-Sun: 4:00 PM - 9:00 PM (Closed Mon/Tue),"Stall No.8, Pusat Penjaja Seksyen 1/12, Jalan Othman, PJ Old Town, 46000 PJ",A rare gem serving authentic-tasting Halal Hokkien Mee using chicken fat/skin instead of pork lard for that classic aroma.,"Hawker centre setting. Ground level, mostly accessible.",Bus: PJ City Bus to PJ Old Town Terminal.,
Food,Sri Nirwana Maju,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/blob/images/Sri%20Nirwana%20Maju.jpg,,Indian (Banana Leaf),Muslim-Friendly (Pork-Free),Banana Leaf Rice with Fried Tenggiri or Chicken Varuval,RM15 - RM30,,Daily: 11:30 AM - 11:00 PM,"43, Jalan Telawi 3, Bangsar, 59100 Kuala Lumpur",Michelin Bib Gourmand. Famous for its long queues and 'Banjir' (flooded) curry style. No official Halal cert but serves no pork.,Ground floor shop. Accessible entrance.,"LRT Kelana Jaya Line: Bangsar Station (Take Grab/Taxi, ~5 mins).",
Food,Sate Kajang Hj Samuri,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/Sate%20Kajang%20Hj%20Samuri.jpg,,Malay,Halal,Chicken & Beef Satay with Peanut Sauce,RM1.20 - RM3.00 per stick,,Sat-Thu: 11:00 AM - 11:00 PM; Fri: 3:00 PM - 11:00 PM,"Jalan Hishammuddin, Bandar Kajang, 43000 Kajang, Selangor","The most famous Satay chain in Malaysia. Known for its chunky meat skewers and thick, spicy peanut sauce.",Ground floor/Restaurant setting. Wheelchair accessible.,MRT Kajang Line: Stadium Kajang Station (Walking distance).,
Food,Nam Heong Chicken Rice,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/Nam%20Heong%20Chicken%20Rice.webp,,Chinese (Hainanese),Non-Halal,Hainanese Steamed/Roasted Chicken Rice,RM12 - RM20,,Daily: 10:00 AM - 3:00 PM,"56, Jalan Sultan, City Centre, 50000 Kuala Lumpur",A heritage shop in Chinatown. Famous for its silky smooth steamed chicken and fragrant oily rice. Michelin Bib Gourmand.,Ground floor shop. Accessible.,MRT/LRT: Pasar Seni Station (5-10 min walk).,
Food,Nasi Ayam Chee Meng,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/Nasi%20Ayam%20Chee%20Meng.jpg,,Chinese (Hainanese),Halal,Roasted Chicken Rice & Kerabu Mangga,RM15 - RM25,,Daily: 11:00 AM - 9:00 PM,"50, Jalan Bukit Bintang, 55100 Kuala Lumpur",A certified Halal Hainanese chicken rice favorite in the heart of Bukit Bintang. Great for tourists and locals.,Ground floor restaurant. Wheelchair accessible.,Monorail/MRT: Bukit Bintang Station (Walking distance).,
Food,Kin Kin Chili Pan Mee,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/Kin%20Kin%20Chili%20Pan%20Mee.jpg,,Chinese (Hakka),Non-Halal,Dry Chili Pan Mee (Flat Flour Noodles),RM10 - RM15,,Daily: 7:00 AM - 6:30 PM,"40, Jalan Dewan Sultan Sulaiman, Kampung Baru, 50300 Kuala Lumpur","The originator of 'Chili Pan Mee'. Springy noodles topped with minced pork, fried anchovies, poached egg, and their signature dry chili flakes.",Ground floor shop. Basic accessibility.,Monorail: Medan Tuanku Station (5 min walk).,
Food,Valentine Roti,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/Valentine%20Roti.jpg,,Indian-Muslim (Mamak),Halal,Roti Canai & Roti Valentine (Stuffed Roti),RM2 - RM8,,Mon-Sat: 4:00 PM - 2:00 AM (Closed Sun),"1, Jalan Sultan Yahya Petra, Kampung Datuk Keramat, 54100 Kuala Lumpur",Famous late-night supper spot. Their Roti Canai is known for being extra crispy and fluffy. Great with their dhal and mutton curry.,Open-air roadside stall. Accessible flat ground.,LRT Kelana Jaya Line: Dato' Keramat Station (10-15 min walk).,
Food,Yut Kee Restaurant,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/Yut%20Kee%20Restaurant.jpg,,Hainanese (Colonial),Non-Halal,Hainanese Pork Chop & Roti Babi,RM15 - RM30,,Tue-Sun: 7:30 AM - 3:00 PM (Closed Mon),"1, Jalan Kamunting, Chow Kit, 50300 Kuala Lumpur",One of KL's oldest Kopitiams (since 1928). Famous for its colonial-style Hainanese cuisine and marble cakes.,Ground floor. Wheelchair friendly entrance.,LRT Kelana Jaya Line: Dang Wangi Station (5 min walk).,
Food,Damansara Uptown Hokkien Mee,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/Damansara%20Uptown%20Hokkien%20Mee.jpg,,Chinese (Hokkien),Non-Halal,KL Hokkien Mee & Roast Duck,RM15 - RM25,,Daily: 5:00 PM - 2:00 AM,"117, 119, 121, Jalan SS 21/37, Damansara Utama, 47400 Petaling Jaya","A cleaner, air-conditioned alternative for great Hokkien Mee. Open late and very consistent in taste.",Ground floor shop. Accessible.,MRT Kajang Line: TTDI Station (Take Grab/Taxi).,
Food,Pure Saiva,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/Pure%20Saiva.jpg,,Indian (South Indian),Halal (Vegetarian),South Indian Thali & Masala Tosai,RM15 - RM30,,Daily: 7:00 AM - 10:00 PM,"No 34, Jalan Yong Shook Lin, Bandar Baru Petaling Jaya, 46050 PJ","High-quality South Indian Vegetarian food. Modern, clean setting. Famous for their extensive Thali sets and filter coffee.","Modern shop, ground floor. Wheelchair accessible.",LRT Kelana Jaya Line: Taman Jaya Station (Walking distance).,
Attraction,Batu Caves,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/Batu%20Caves.jpg,Culture & Nature,,,,Entry: Free | Tours: Paid,,Daily: 7:00 AM - 9:00 PM,"Gombak, 68100 Batu Caves, Selangor",Limestone hill featuring a series of caves and cave temples with a massive golden statue of Lord Murugan. famous for its 272 colorful steps.,Ground level is accessible; Main Temple is NOT wheelchair accessible (272 steep steps).,KTM Komuter: Batu Caves Station (Direct access).,https://www.malaysia.travel
Attraction,Petronas Twin Towers,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/Petronas%20Twin%20Towers.jpg,Landmark,,,,RM50 (MyKad) / RM98 (Intl),,Tue-Sun: 10:00 AM - 6:00 PM (Closed Mondays),"Kuala Lumpur City Centre, 50088 Kuala Lumpur",World's tallest twin towers with a Skybridge and Observation Deck offering panoramic city views.,Fully wheelchair accessible; elevators available to Skybridge and Observation Deck.,LRT Kelana Jaya Line: KLCC Station (Direct access through Suria KLCC Mall).,https://www.petronastwintowers.com.my
Attraction,Sunway Lagoon,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/Sunway%20Lagoon.jpg,Theme Park,,,,RM160 (MyKad) / RM225 (Intl),,Wed-Mon: 10:00 AM - 6:00 PM (Closed Tuesdays),"3, Jalan PJS 11/11, Bandar Sunway, 47500 Subang Jaya","Huge multi-park destination with Water Park, Amusement Park, Wildlife Park, Extreme Park, Scream Park, and Nickelodeon Lost Lagoon.",Wheelchair accessible pathways; wheelchairs available for rent; some rides have physical restrictions.,BRT Sunway Line: Sunway Lagoon Station (Connects via KTM Setia Jaya or LRT USJ 7).,https://sunwaylagoon.com
Attraction,KL Bird Park,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/KL%20Bird%20Park.jpg,Nature & Wildlife,,,,RM45 (MyKad) / RM85 (Intl),,Daily: 9:00 AM - 6:00 PM,"920, Jalan Cenderawasih, Perdana Botanical Gardens, 50480 KL",Renowned eco-tourism site; the world's largest free-flight walk-in aviary.,Zone 1 & 2 are wheelchair friendly (paved); Zone 3 & 4 have slopes/stairs. No wheelchair rental on-site.,Bus: KL Hop-On Hop-Off (Stop 14) or RapidKL Bus B115. MRT: Muzium Negara (20 min walk).,https://www.klbirdpark.com
Attraction,National Museum (Muzium Negara),https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/National%20Museum%20(Muzium%20Negara).jpg,History & Culture,,,,RM2 (MyKad) / RM5 (Intl),,Daily: 9:00 AM - 5:00 PM,"Jalan Damansara, Perdana Botanical Gardens, 50566 KL","Malaysia's premier museum showcasing national history, culture, and heritage from prehistoric to modern times.",Fully wheelchair accessible with ramps and elevators to all galleries.,MRT Kajang Line: Muzium Negara Station (Exit B connects directly via pedestrian bridge).,http://www.muziumnegara.gov.my
Attraction,Aquaria KLCC,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/Aquaria%20KLCC.png,Nature & Wildlife,,,,RM52 (MyKad) / RM75 (Intl),,Daily: 10:00 AM - 8:00 PM,"Kuala Lumpur Convention Centre, Jalan Pinang, 50088 KL","Oceanarium located beneath KL Convention Centre featuring a 90-meter underwater tunnel and over 5,000 exhibits.",Fully wheelchair accessible; elevators and flat paths throughout exhibits.,LRT Kelana Jaya Line: KLCC Station (Walk through undercover tunnel).,https://aquariaklcc.com
Attraction,Perdana Botanical Garden,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/Perdana%20Botanical%20Garden.jpg,Nature,,,,Free Entry,,Daily: 7:00 AM - 8:00 PM,"Jalan Kebun Bunga, Tasik Perdana, 55100 KL","The oldest and most popular public park in KL, featuring orchid gardens, hibiscus gardens, and a deer park.",Main paved paths are wheelchair accessible; some steep gradients in specific specialized gardens.,MRT Kajang Line: Muzium Negara Station (15 min walk through museum connector).,https://www.klbotanicalgarden.gov.my
Attraction,Islamic Arts Museum Malaysia,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/Islamic%20Arts%20Museum%20Malaysia.jpg,Museum,,,,RM20 Adult / RM10 Student,,Daily: 9:30 AM - 6:00 PM,"Jalan Lembah Perdana, 50480 Kuala Lumpur","Southeast Asia's largest museum of Islamic art, housing more than 10,000 artifacts from the Islamic world.",Fully accessible with elevators and ramps; wheelchair accessible toilets available.,Bus: GoKL City Bus (Red Line) - Stop at Masjid Negara.,https://www.iamm.org.my
Attraction,Zoo Negara,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/Zoo%20Negara.jpg,Nature & Wildlife,,,,RM45 (MyKad) / RM88 (Intl),,Daily: 9:00 AM - 5:00 PM,"Jalan Ulu Kelang, Kemensah Heights, 68000 Ampang, Selangor",National zoo of Malaysia featuring over 476 species; famous for the Giant Panda Conservation Centre.,Wheelchair accessible; Tram service included in ticket; Wheelchair rental available (RM5 + deposit).,LRT Kelana Jaya Line: Wangsa Maju Station (Then take Taxi/Grab or RapidKL Bus 253).,https://www.zoonegaramalaysia.my
Attraction,National Science Centre (Pusat Sains Negara),https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/National%20Science%20Centre%20(Pusat%20Sains%20Negara).jpg,Science & Education,,,,RM6 Adult / RM3 Child,,Sat-Thu: 9:00 AM - 5:00 PM (Closed Fridays),"Persiaran Bukit Kiara, Bukit Damansara, 50662 KL","Interactive science museum with hands-on exhibits, an aquarium tunnel, and outdoor science park. Great for kids.",Fully accessible with elevators and ramps.,MRT Kajang Line: Pusat Bandar Damansara (Then take feeder bus T818 or Grab).,https://www.psn.gov.my
Attraction,Sultan Salahuddin Abdul Aziz Shah Mosque (Blue Mosque),https://raw.githubusercontent.com/pekom-code-fest/frid/images/Sultan%20Salahuddin%20Abdul%20Aziz%20Shah%20Mosque%20(Blue%20Mosque).jpg,Culture,,,,Free Entry,,Visits: Sat-Thu 9am-12:30pm; 2pm-4pm; 5pm-6:30pm (Fri restricted),"Persiaran Masjid, Sekysen 14, 40000 Shah Alam, Selangor","The largest mosque in Malaysia, known for its massive blue and silver dome and stunning architecture.",Wheelchair accessible areas available; elevators to prayer hall level.,Bus: RapidKL Bus 750 from Pasar Seni to Shah Alam City Centre.,https://mssaas.gov.my
Attraction,I-City Shah Alam,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/I-City%20Shah%20Alam.jpg,Theme Park & Lights,,,,Park: Free | Rides: Paid,,Daily: 5:00 PM - 12:00 AM (Attractions vary),"Jalan Multimedia, 7/AJ, City Park, i-City, 40000 Shah Alam","Technology city famous for its LED 'City of Digital Lights', SnowWalk, and WaterWorld.",Paved paths in main park area are wheelchair friendly; some rides not accessible.,KTM Komuter: Padang Jawa Station (Then take free Smart Selangor Bus or Grab).,https://iticket.i-city.my
Attraction,Thean Hou Temple,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/Thean%20Hou%20Temple.jpg,Culture,,,,Free Entry,,Daily: 8:00 AM - 10:00 PM,"65, Persiaran Endah, Taman Persiaran Desa, 50460 KL","One of the oldest and largest temples in Southeast Asia, featuring 6 tiers of Chinese architecture and great city views.",Elevators available to upper prayer halls; wheelchair ramps present.,No direct train. Best: Grab/Taxi from KL Sentral or Mid Valley Megamall.,https://www.hainannet.com.my
Attraction,Kwai Chai Hong,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/Kwai%20Chai%20Hong.jpg,Culture & Art,,,,Free Entry,,Daily: 9:00 AM - 12:00 AM (Lights on),"Lorong Panggung, City Centre, 50000 Kuala Lumpur",Restored heritage alleyway in Chinatown featuring interactive murals and hidden bars. Instagram hotspot.,Ground level is flat and paved (cobblestones); mostly wheelchair accessible.,"MRT/LRT: Pasar Seni Station (Exit A, 5 min walk).",https://www.kwaichaihong.com
Attraction,KL Forest Eco Park (Bukit Nanas),https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/KL%20Forest%20Eco%20Park%20(Bukit%20Nanas).jpg,Nature,,,,RM10 (MyKad) / RM40 (Intl),,Daily: 8:00 AM - 5:30 PM,"Lot 240, Jalan Raja Chulan, Bukit Kewangan, 50250 KL",Tropical rainforest reserve in the city center featuring a 200m canopy walk.,Not fully wheelchair accessible (many stairs to canopy walk).,Monorail: Bukit Nanas Station / GoKL Bus (Purple Line) - Stop at KL Tower.,https://www.forestry.gov.my
Attraction,Putrajaya Wetlands Park (Taman Wetland),https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/Putrajaya%20Wetlands%20Park%20(Taman%20Wetland).jpg,Nature,,,,Park: Free | Studios: Paid,,Tue-Sun: 9:00 AM - 5:00 PM (Closed Mondays),"Presint 13, 62000 Putrajaya","Largest constructed freshwater wetlands in the tropics; features nature trails, flamingo pond, and lookout tower.",Paved trails are wheelchair and stroller friendly; tram service available.,ERL: Putrajaya Sentral (Then take Nadi Putra Bus or Grab).,https://www.ppj.gov.my
Attraction,Ilham Gallery,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/Ilham%20Gallery.jpg,Art,,,,Free Entry,,Tue-Sun: 11:00 AM - 7:00 PM (Closed Mondays),"Levels 3 & 5, Ilham Tower, 8, Jln Binjai, 50450 KL","Public art gallery devoted to modern and contemporary Malaysian art, housed in the Ilham Tower.",Fully wheelchair accessible; elevators and disabled restrooms available.,LRT Kelana Jaya Line: Ampang Park Station (Exit is right next to Ilham Tower).,http://www.ilhamgallery.com
Attraction,Farm In The City,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/Farm%20In%20The%20City.jpg,Nature & Wildlife,,,,RM39 (MyKad) / RM58 (Intl),,Mon-Fri: 10am-6pm; Sat-Sun: 9:30am-6pm (Closed Tuesdays),"Lot 40187-40188, Jalan Prima Tropika Barat, 43300 Seri Kembangan",Petting zoo in a village-themed setting; allows visitors to feed and touch friendly animals like alpacas.,Wheelchair friendly flat paths; strollers available for rent.,MRT Putrajaya Line: Putra Permai Station (Short Grab ride or 15 min walk).,https://farminthecity.my
